Widget Name,Lines of Code,Import Count,Component Count,Hook Count,Complexity Score
AcoOrderProgressWidget.tsx,293,14,5,17,82
AcoOrderReportWidgetV2.tsx,242,11,2,10,52
AnalysisExpandableCards.tsx,300,6,0,5,28
AnalysisPagedWidgetV2.tsx,323,6,7,5,49
AvailableSoonWidget.tsx,40,6,0,0,12
AwaitLocationQtyWidget.tsx,30,5,2,3,22
Folder3D.tsx,48,2,1,1,9
GoogleDriveUploadToast.tsx,112,3,1,0,11
GrnReportWidgetV2.tsx,559,10,2,13,63
HistoryTreeV2.tsx,386,19,2,16,83
InjectionProductionStatsWidget.tsx,144,7,3,21,67
InventoryOrderedAnalysisWidget.tsx,472,13,9,26,114
OrderAnalysisResultDialog.tsx,222,3,1,0,13
OrderStateListWidgetV2.tsx,266,10,4,16,69
OrdersListWidgetV2.tsx,260,14,5,21,90
OtherFilesListWidgetV2.tsx,210,13,4,21,84
PerformanceTestWidget.tsx,159,9,3,5,40
ProductDistributionChartWidget.tsx,210,7,5,13,59
ProductUpdateWidget.tsx,466,11,4,18,79
ProductUpdateWidgetV2.tsx,672,15,4,28,111
ProductionDetailsWidget.tsx,202,10,4,18,72
ProductionStatsWidget.tsx,125,6,3,8,39
ReportGeneratorWithDialogWidgetV2.tsx,290,8,4,13,59
ReprintLabelWidget.tsx,165,9,0,5,31
StaffWorkloadWidget.tsx,313,10,8,19,88
StatsCardWidget.tsx,85,5,3,3,26
StillInAwaitPercentageWidget.tsx,179,9,2,7,41
StillInAwaitWidget.tsx,166,9,1,7,38
StockDistributionChartV2.tsx,363,8,3,20,72
StockLevelHistoryChart.tsx,376,12,7,25,102
StockTypeSelector.tsx,242,8,6,13,64
SupplierUpdateWidgetV2.tsx,579,15,4,26,105
TopProductsByQuantityWidget.tsx,204,10,4,17,70
TopProductsDistributionWidget.tsx,228,10,4,17,70
TransactionReportWidget.tsx,303,12,2,12,60
TransferTimeDistributionWidget.tsx,261,12,4,7,55
UploadFilesWidget.tsx,221,8,7,12,65
UploadOrdersWidgetV2.tsx,243,8,8,14,72
UploadPhotoWidget.tsx,203,8,7,10,61
UploadProductSpecWidget.tsx,174,7,6,8,51
VoidPalletWidget.tsx,776,16,6,21,107
WarehouseTransferListWidget.tsx,197,11,4,25,87
WarehouseWorkLevelAreaChart.tsx,275,13,6,22,93
YesterdayTransferCountWidget.tsx,81,6,2,4,27
AcoOrderProgressCards.tsx,157,6,0,7,29
AcoOrderProgressChart.tsx,149,6,0,4,22
InventoryTurnoverAnalysis.tsx,213,6,2,4,30
RealTimeInventoryMap.tsx,231,6,2,4,30
StocktakeAccuracyTrend.tsx,223,7,1,4,29
TopProductsInventoryChart.tsx,190,7,0,4,25
UserActivityHeatmap.tsx,156,5,2,6,31
VoidRecordsAnalysis.tsx,196,6,2,4,29
